"zone","state","lga","sector","ea","hhid","plotid","s11aq4a","s11aq4b","s11aq4c","s11aq4a1","s11aq4b1","s11aq4b1_os","s11aq5c","s11aq6a","s11aq6b"
2,2,203,2,1224,20046,4,3,5,3337.2,1,,,2004604,2,
2,2,203,2,1224,20046,5,2,5,1800.7,1,,,2004605,3,
2,2,203,2,1224,20046,6,2,5,1884.3,1,,,2004606,3,
2,2,203,2,1224,20047,1,3,6,4768.3,1,,,200471,1,7
2,2,203,2,1224,20047,2,2,6,2996.7,1,,,200472,1,7
2,2,203,2,1224,20047,3,3,6,5038.3,1,,,200473,1,7
2,2,203,2,1224,20047,4,4,6,7728.5,1,,,200474,1,7
2,2,203,2,1224,20048,1,2,5,8734.32,1,,,2004801,1,
2,2,203,2,1224,20048,2,2,5,,2,1,,,1,
2,2,203,2,1224,20048,3,3.5,5,9878.72,1,,,2004803,1,
2,2,203,2,1224,20049,1,3,5,3347,1,,,200491,15,
2,2,203,2,1224,20049,2,2,5,,2,1,,,15,
2,2,203,2,1224,20049,3,5,5,,2,1,,,15,
2,2,203,2,1224,20049,4,1.5,5,,2,1,,,15,
2,2,203,2,1224,20050,1,3,5,9761.8,1,,,2005001,1,
2,2,203,2,1224,20050,2,2,5,3407.2,1,,,2005002,2,
2,2,212,2,956,20051,1,2,6,4762.8,1,,,2005101,1,
2,2,212,2,956,20052,1,3.35,5,12155,1,,,200521,1,2
2,2,212,2,956,20053,1,2,5,5836,1,,,200531,1,
2,2,212,2,956,20054,1,4,5,15572.2,1,,,2005401,1,6
2,2,212,2,956,20054,2,2,5,8452,1,,,2005402,1,6
2,2,212,2,956,20055,1,1.5,5,5056.1,1,,,200551,1,6
2,2,212,2,956,20055,2,2.16,5,8779.5,1,,,200552,1,6
2,2,212,2,956,20055,3,1,5,2286.5,1,,,200553,1,6
2,2,212,2,956,20056,1,7,5,2820.4,1,,,2005601,1,
2,2,212,2,956,20057,1,2,5,7158.7,1,,,200571,1,
2,2,212,2,956,20058,1,2.9,6,6846.3,1,,,200581,1,
2,2,212,2,956,20059,1,6.3,5,12362.34,1,,,200591,1,3
2,2,212,2,956,20060,1,2.5,6,1003.3,1,,,200601,1,
2,2,210,2,1300,20061,1,2.7,5,3886,1,,,200611,1,2
2,2,210,2,1300,20061,2,3,5,4792,1,,,200612,1,2
2,2,210,2,1300,20061,3,2.6,5,3746,1,,,200613,1,2
2,2,210,2,1300,20062,1,3,6,6178.7,1,,,200621,1,
