"zone","state","lga","sector","ea","hhid","s9q29a","s9q29b","s9q29c","s9q30a","s9q30b","s9q30c"
4,16,1613,2,440,160057,62,71,,,,
4,16,1613,2,440,160058,,,,71,74,
4,16,1613,2,440,160059,71,73,,,,
4,16,1613,2,440,160060,12,62,71,,,
4,16,1616,2,296,160061,,,,71,101,
4,16,1616,2,296,160062,,,,71,72,73
4,16,1616,2,296,160063,,,,71,83,
4,16,1616,2,296,160064,,,,71,73,131
4,16,1616,2,296,160066,,,,71,73,132
4,16,1616,2,296,160067,,,,13,73,91
4,16,1616,2,296,160068,,,,13,82,72
4,16,1616,2,296,160069,13,72,,,,
4,16,1616,2,296,160070,,,,13,71,121
4,16,1620,2,106,160071,63,83,92,,,
4,16,1620,2,106,160072,62,63,71,,,
4,16,1620,2,106,160073,,,,71,72,73
4,16,1620,2,106,160074,13,71,91,,,
4,16,1620,2,106,160075,23,71,,,,
4,16,1620,2,106,160076,71,,,,,
4,16,1620,2,106,160077,71,63,73,,,
4,16,1620,2,106,160078,,,,71,72,12
4,16,1620,2,106,160079,,,,71,31,72
4,16,1620,2,106,160080,12,32,71,,,
4,16,1618,2,1060,160081,62,63,64,,,
4,16,1618,2,1060,160082,,,,71,72,73
4,16,1618,2,1060,160083,63,71,83,,,
4,16,1618,2,1060,160084,,,,72,73,
4,16,1618,2,1060,160085,61,71,73,,,
4,16,1618,2,1060,160086,,,,61,72,91
4,16,1618,2,1060,160088,11,61,72,,,
4,16,1618,2,1060,160089,12,61,71,,,
4,16,1618,2,1060,160090,,,,71,73,
4,16,1601,2,954,160091,81,83,63,,,
4,16,1601,2,954,160092,11,63,72,,,
4,16,1601,2,954,160093,63,64,71,,,
4,16,1601,2,954,160094,71,,,,,
4,16,1601,2,954,160095,83,71,,,,
4,16,1601,2,954,160096,71,,,,,
4,16,1601,2,954,160097,71,72,131,,,
4,16,1601,2,954,160098,12,31,71,,,
4,16,1601,2,954,160099,,,,71,72,132
4,16,1601,2,954,160100,71,61,,,,
4,16,1606,2,590,160101,,,,72,71,
4,16,1606,2,590,160103,72,75,,,,
4,16,1610,2,1006,160104,62,,,,,
4,16,1610,2,1006,160105,12,131,,,,
4,16,1624,1,286,160106,72,73,,,,
4,16,1606,2,590,160107,83,75,,,,
4,16,1606,2,590,160108,92,,,,,
4,16,1606,2,590,160109,61,83,,,,
4,16,1624,1,286,160110,75,,,,,
4,16,1603,2,158,160111,,,,71,,
4,16,1610,2,1006,160112,62,132,,,,
4,16,1624,1,286,160113,71,,,,,
4,16,1610,2,1006,160114,83,61,,,,
4,16,1610,2,1006,160115,12,61,,,,
4,16,1610,2,1006,160116,83,61,,,,
4,16,1610,2,1006,160117,62,,,,,
4,16,1612,2,414,160118,61,81,132,,,
4,16,1602,2,1576,160119,62,131,132,,,
4,16,1602,2,1576,160120,71,72,64,,,
4,16,1602,2,1576,160121,72,81,,,,
4,16,1608,2,1104,160122,83,71,11,,,
4,16,1612,2,414,160123,,,,92,,
4,16,1602,2,1576,160124,131,132,,,,
4,16,1602,2,1576,160125,92,,,,,
4,16,1612,2,414,160127,92,,,,,
4,16,1612,2,414,160128,92,,,,,
4,16,1622,2,18,160129,92,,,,,
4,16,1612,2,414,160130,13,83,,,,
4,16,1612,2,414,160131,,,,73,71,
4,16,1624,1,286,160132,71,,,,,
4,16,1624,1,286,160133,,,,75,,
4,16,1625,2,1210,160134,12,73,,,,
4,16,1625,2,1210,160135,12,73,111,,,
4,16,1622,1,0,160136,,,,12,63,91
4,16,1625,2,1210,160137,71,72,73,,,
4,16,1626,2,0,160138,72,73,63,,,
4,16,1625,1,0,160139,63,71,72,,,
4,16,1625,2,1210,160140,,,,71,72,75
4,16,1626,2,0,160141,131,71,72,,,
4,16,1625,2,1210,160142,,,,71,12,63
4,16,1625,2,1210,160143,,,,91,71,72
4,16,1605,2,180,160144,71,72,81,,,
4,16,1605,2,180,160145,62,64,63,,,
4,16,1605,2,180,160146,71,,,,,
4,16,1605,2,180,160147,71,,,,,
4,16,1605,2,180,160148,71,73,,,,
4,16,1605,2,180,160149,71,31,72,,,
4,16,1605,2,180,160150,62,72,73,,,
4,16,1605,2,180,160151,71,31,11,,,
4,16,1605,2,180,160152,,,,12,71,72
4,16,1605,2,180,160153,81,83,63,,,
4,16,1603,2,158,160154,13,71,,,,
4,16,1603,2,158,160155,,,,71,31,
4,16,1609,2,738,160156,63,132,,,,
4,16,1609,2,738,160157,,,,71,75,
4,16,1609,2,738,160158,132,92,91,,,
4,16,1609,2,738,160159,63,132,,,,
4,16,1609,2,738,160160,73,72,12,,,
4,16,1608,2,1104,160161,81,83,,,,
4,16,1609,2,738,160162,72,64,,,,
4,16,1608,2,1104,160163,,,,71,72,
4,16,1608,2,1104,160164,61,62,,,,
4,16,1608,2,1104,160165,122,75,,,,
4,16,1608,2,1104,160166,,,,61,12,71
4,16,1608,2,1104,160167,61,93,,,,
4,16,1609,2,738,160168,,,,72,12,
4,16,1609,2,738,160169,92,,,,,
4,16,1609,2,738,160170,92,,,,,
4,16,1608,2,1104,160171,,,,71,73,
