"zone","state","lga","sector","ea","hhid","plotid","s11aq4a","s11aq4b","s11aq4c","s11aq4d","s11aq5c","s11aq6"
2,2,214,2,898,20073,1,1.5,5,,1019.3,2601,1
2,2,214,2,898,20074,1,4,6,,1102,5801,1
2,2,214,2,898,20075,1,4,6,,8450.9,5301,1
2,2,214,2,898,20077,1,4,5,,3569,4001,1
2,2,214,2,898,20080,1,1,6,,2840,301,1
2,2,215,1,8,20081,1,3,6,,12035,401,1
2,2,215,1,8,20082,1,1,6,,2842,2801,1
2,2,215,1,8,20082,2,1,6,,2146.5,2802,1
2,2,215,1,8,20082,3,1,6,,2218.5,2803,1
2,2,215,1,8,20082,4,1,5,,1399.5,2804,1
2,2,215,1,8,20082,5,1,6,,2701.1,2805,1
2,2,215,1,8,20083,1,1,5,,926.5,1501,2
2,2,215,1,8,20083,2,1,5,,801.1,1502,2
2,2,215,1,8,20083,3,1,6,,1399.5,1503,2
2,2,215,1,8,20085,1,15,5,,65480,601,2
2,2,215,1,8,20085,2,1,5,,55525,602,2
2,2,215,1,8,20086,1,0.300000011920929,6,,18631,1701,1
2,2,215,1,8,20088,1,5,5,,12047,3101,1
2,2,215,1,8,20089,1,1,6,,,1,1
2,2,215,1,8,20089,2,1,6,,,2,1
2,2,215,1,8,20090,1,1,6,,4309.1,2601,1
2,2,215,1,8,20090,2,1,5,,2801.1,2602,1
2,2,215,1,8,20090,3,1.5,6,,5597.1,2603,2
2,2,207,2,1302,20091,1,4,6,,,101,1
2,2,207,2,1302,20091,2,1,6,,,102,1
2,2,207,2,1302,20091,3,1,5,,,103,1
2,2,207,2,1302,20092,1,3,5,,13605,501,1
2,2,207,2,1302,20092,2,5,5,,18307,502,1
2,2,207,2,1302,20092,3,1,5,,2267.9,503,2
2,2,207,2,1302,20092,4,4,5,,24767,504,1
2,2,207,2,1302,20092,5,6,5,,25323,505,1
2,2,207,2,1302,20093,1,2,6,,2551,1001,2
2,2,207,2,1302,20093,2,3,6,,3034,1002,1
2,2,207,2,1302,20093,3,4,6,,3934,1003,1
2,2,207,2,1302,20094,1,1,5,,4091.1,601,1
2,2,207,2,1302,20094,2,1,5,,5131.2,602,1
2,2,207,2,1302,20095,1,3,5,,3413.1,201,1
2,2,207,2,1302,20095,2,2,5,,2813,202,1
2,2,207,2,1302,20096,1,1,5,,552,1,1
2,2,207,2,1302,20096,2,2,5,,2345,2,1
2,2,207,2,1302,20096,3,1,5,,4288.07,3,1
2,2,207,2,1302,20096,4,1,5,,3215.5,4,1
2,2,207,2,1302,20097,1,1,5,,8552.2,1201,1
2,2,207,2,1302,20097,2,2,5,,9074.2,1202,1
2,2,207,2,1302,20097,3,1,5,,2813,1203,2
2,2,207,2,1302,20098,1,6,6,,10531,901,1
2,2,207,2,1302,20098,2,3,6,,5061.3,902,1
2,2,207,2,1302,20098,3,2,6,,4813,903,1
2,2,207,2,1302,20098,4,3,6,,8211.2,904,1
2,2,207,2,1302,20098,5,2,6,,4036.2,905,1
2,2,207,2,1302,20098,6,1,6,,3915,906,1
2,2,207,2,1302,20099,1,1,5,,2217.9,701,1
2,2,207,2,1302,20100,1,2.5,,,2480.9,401,1
2,2,207,2,1302,20100,2,4,1,,1043.5,402,1
2,2,205,2,712,20101,1,3,6,,7653,2801,1
2,2,205,2,712,20101,2,1,6,,3471,2802,1
2,2,205,2,712,20102,1,10,5,,7413.7,1901,1
2,2,205,2,712,20102,2,15,5,,8303.5,1902,1
2,2,205,2,712,20102,3,20,5,,19475,1903,1
2,2,205,2,712,20102,4,15,5,,12021,1904,2
2,2,205,2,712,20102,5,4,5,,4183.3,1905,1
2,2,205,2,712,20102,6,10,5,,12064,1906,1
2,2,205,2,712,20102,7,8,5,,5546.2,1907,3
2,2,205,2,712,20102,8,10,5,,11368,1908,8
2,2,205,2,712,20103,1,1,6,,4923.3,801,1
2,2,205,2,712,20103,2,2,6,,6689.3,802,1
2,2,205,2,712,20103,3,2,6,,4900,803,1
2,2,205,2,712,20103,4,2,6,,4992.6,804,1
2,2,205,2,712,20104,1,2,6,,3019.3,601,1
2,2,205,2,712,20104,2,1,6,,3461.5,601,1
2,2,205,2,712,20104,3,4,5,,1860.1,603,1
2,2,205,2,712,20104,4,5,6,,4813,604,1
2,2,205,2,712,20104,5,6,6,,4109.6,605,2
2,2,205,2,712,20105,1,2560,7,,2128.5,2601,1
2,2,205,2,712,20106,1,1,6,,3425.05,2101,1
2,2,205,2,712,20106,2,2,6,,2198.15,2102,1
2,2,205,2,712,20106,3,2,6,,1877.05,2103,1
2,2,205,2,712,20106,4,2,2,,390.6,2104,1
2,2,205,2,712,20107,1,4,5,,4362.5,1201,1
2,2,205,2,712,20107,2,4,5,,3214.16,1202,1
2,2,205,2,712,20108,1,2,5,,4746.7,801,1
2,2,205,2,712,20108,2,1,5,,2843.3,802,1
2,2,205,2,712,20108,3,1,5,,3125.2,803,2
2,2,205,2,712,20109,1,1.5,5,,1763.2,1501,1
2,2,205,2,712,20109,2,2,5,,892.2,1502,1
2,2,205,2,712,20109,3,1,5,,3895.05,1503,1
2,2,205,2,712,20110,1,1,5,,3245.1,1701,1
2,2,205,2,712,20110,2,1,6,,1905.1,1702,1
2,2,218,2,1592,20111,1,6,6,,10641,4401,1
2,2,218,2,1592,20112,1,1,6,,9374.3,1901,1
2,2,218,2,1592,20112,2,1,5,,5562.2,1902,1
2,2,218,2,1592,20112,3,1,5,,4281.7,1903,1
2,2,218,2,1592,20113,1,3,,,2452.2,2301,1
2,2,218,2,1592,20113,2,4,,,8074.2,2302,1
2,2,218,2,1592,20113,3,10,,,1076.21,2304,1
2,2,218,2,1592,20114,1,3,2,,2999.5,1201,1
2,2,218,2,1592,20114,2,5,2,,3467.9,1202,1
2,2,218,2,1592,20114,3,2,2,,4399.5,1203,1
2,2,218,2,1592,20115,1,2,6,,4702,1501,1
2,2,218,2,1592,20115,2,3,6,,6988,1502,1
2,2,218,2,1592,20115,3,1,6,,2921,1503,1
2,2,218,2,1592,20115,4,3,6,,4819,1504,1
2,2,218,2,1592,20116,1,9000,2,,15499.5,101,1
2,2,218,2,1592,20116,2,1000,2,,1722.2,102,1
2,2,218,2,1592,20118,1,2,5,,4879.02,301,1
2,2,218,2,1592,20118,2,3,5,,7312.5,301,1
2,2,218,2,1592,20119,1,200,2,,5371.3,3301,1
2,2,218,2,1592,20119,2,400,2,,11943,3302,1
2,2,218,2,1592,20120,1,5,,,5213.3,2601,1
2,2,218,2,1592,20120,2,4,,,4751.2,2602,1
5,3,331,1,2322,30001,1,15,3,,233.2,101,1
5,3,331,1,2322,30001,2,380,3,,218.2,102,1
5,3,331,1,2322,30005,1,1,4,,244.42,201,2
5,3,331,1,2322,30005,2,1,4,,844.02,202,2
5,3,331,1,516,30020,1,150,3,,191.14,1401,2
5,3,316,2,874,30021,1,1,,,231.14,101,1
5,3,316,2,874,30021,2,1,,,205.52,102,1
